slot,time,hour,mean,q05,q95
0,00:00,0,0.14084670114535597,0.0,0.3934176032305551
0,00:00,1,0.18184303779118982,0.10163430112181818,0.3016737553665729
0,00:00,2,0.27616124741768877,0.11022354186436432,0.7398367869374444
0,00:00,3,0.16508312622367358,0.09437561616853586,0.2723226176186973
0,00:00,4,0.09082827295454965,0.0,0.16228931480826922
0,00:00,5,0.05729078423141881,0.0,0.111357568437951
0,00:00,6,0.03738884698743049,0.0,0.07623548601429714
0,00:00,7,0.02232021248641276,0.0,0.05760449944947435
0,00:00,8,0.01175471666412385,0.0,0.04926258915877477
0,00:00,9,0.005723023725347084,0.0,0.04066786937318906
0,00:00,10,0.0036778469055168987,0.0,0.03255570581959774
0,00:00,11,0.0025424321213758467,0.0,0.024858607434733282
0,00:00,12,0.0017529225481204354,0.0,0.017782902904833475
0,00:00,13,0.0012202987845605876,0.0,0.011339919114984137
0,00:00,14,0.0007762709752835785,0.0,0.005213974406435673
0,00:00,15,0.00043120311709374574,0.0,0.0
0,00:00,16,0.00020684746304718943,0.0,0.0
0,00:00,17,0.000059876602105909185,0.0,0.0
0,00:00,18,0.000030191490920283984,0.0,0.0
0,00:00,19,0.000024005981444137973,0.0,0.0
0,00:00,20,0.000018030815766611226,0.0,0.0
0,00:00,21,0.00001224910070473506,0.0,0.0
0,00:00,22,6.646010850320703e-6,0.0,0.0
0,00:00,23,1.2084560154070056e-6,0.0,0.0
1,00:15,0,0.1321706075152678,0.0,0.3906107985773889
1,00:15,1,0.1650568204536456,0.07961068911418412,0.3014788790037112
1,00:15,2,0.2532203976295564,0.11145452822546886,0.5919966661481293
1,00:15,3,0.19314341382887337,0.09422652153711629,0.34929663317133486
1,00:15,4,0.10166868665160982,0.0,0.1819118653453498
1,00:15,5,0.061587013977428266,0.0,0.1254812617466673
1,00:15,6,0.039863370806115024,0.0,0.08457000197445172
1,00:15,7,0.024214679339109268,0.0,0.057512086448882394
1,00:15,8,0.01276583402547131,0.0,0.04842073933951871
1,00:15,9,0.006129582294974679,0.0,0.03998356672862338
1,00:15,10,0.0037012349400070118,0.0,0.0324795313079958
1,00:15,11,0.002438336932711326,0.0,0.025202695068789777
1,00:15,12,0.0016477328293077523,0.0,0.018294268644021366
1,00:15,13,0.0011153068449550956,0.0,0.011764942985548671
1,00:15,14,0.0006642869611192064,0.0,0.005563681531064818
1,00:15,15,0.0003516832246037917,0.0,0.0
1,00:15,16,0.00013999523919203742,0.0,0.0
1,00:15,17,0.00004027318868627805,0.0,0.0
1,00:15,18,0.000028217859756972343,0.0,0.0
1,00:15,19,0.00002197684412591555,0.0,0.0
1,00:15,20,0.00001595076543400257,0.0,0.0
1,00:15,21,0.00001012215211387646,0.0,0.0
1,00:15,22,4.475695934217656e-6,0.0,0.0
1,00:15,23,0.0,0.0,0.0
2,00:30,0,0.12366360839670873,0.0,0.38632203091372685
