slot,time,hour,mean,q05,q95
0,00:00,0,0.6552791496186777,0.31542703158995206,1.0
0,00:00,1,0.3334562058706232,0.0,0.6493523867038214
0,00:00,2,0.011205857753865331,0.0,0.08353783983539897
0,00:00,3,0.00005878675683471113,0.0,0.0
0,00:00,4,0.0,0.0,0.0
0,00:00,5,0.0,0.0,0.0
0,00:00,6,0.0,0.0,0.0
0,00:00,7,0.0,0.0,0.0
0,00:00,8,0.0,0.0,0.0
0,00:00,9,0.0,0.0,0.0
0,00:00,10,0.0,0.0,0.0
0,00:00,11,0.0,0.0,0.0
0,00:00,12,0.0,0.0,0.0
0,00:00,13,0.0,0.0,0.0
0,00:00,14,0.0,0.0,0.0
0,00:00,15,0.0,0.0,0.0
0,00:00,16,0.0,0.0,0.0
0,00:00,17,0.0,0.0,0.0
0,00:00,18,0.0,0.0,0.0
0,00:00,19,0.0,0.0,0.0
0,00:00,20,0.0,0.0,0.0
0,00:00,21,0.0,0.0,0.0
0,00:00,22,0.0,0.0,0.0
0,00:00,23,0.0,0.0,0.0
1,00:15,0,0.5504510402967983,0.07277929257928456,1.0
1,00:15,1,0.41942074025717835,0.0,0.764062510368295
1,00:15,2,0.030045703292462304,0.0,0.218456055953979
1,00:15,3,0.00008251615356046932,0.0,0.0
1,00:15,4,0.0,0.0,0.0
1,00:15,5,0.0,0.0,0.0
1,00:15,6,0.0,0.0,0.0
1,00:15,7,0.0,0.0,0.0
1,00:15,8,0.0,0.0,0.0
1,00:15,9,0.0,0.0,0.0
1,00:15,10,0.0,0.0,0.0
1,00:15,11,0.0,0.0,0.0
1,00:15,12,0.0,0.0,0.0
1,00:15,13,0.0,0.0,0.0
1,00:15,14,0.0,0.0,0.0
1,00:15,15,0.0,0.0,0.0
1,00:15,16,0.0,0.0,0.0
1,00:15,17,0.0,0.0,0.0
1,00:15,18,0.0,0.0,0.0
1,00:15,19,0.0,0.0,0.0
1,00:15,20,0.0,0.0,0.0
1,00:15,21,0.0,0.0,0.0
1,00:15,22,0.0,0.0,0.0
1,00:15,23,0.0,0.0,0.0
2,00:30,0,0.41375663715195365,0.0,1.0
2,00:30,1,0.4786795581819618,0.0,0.7792701550049378
2,00:30,2,0.10694480533042192,0.0,0.40168978392305676
2,00:30,3,0.0006189993356634437,0.0,0.0
2,00:30,4,0.0,0.0,0.0
2,00:30,5,0.0,0.0,0.0
2,00:30,6,0.0,0.0,0.0
2,00:30,7,0.0,0.0,0.0
2,00:30,8,0.0,0.0,0.0
2,00:30,9,0.0,0.0,0.0
2,00:30,10,0.0,0.0,0.0
2,00:30,11,0.0,0.0,0.0
2,00:30,12,0.0,0.0,0.0
2,00:30,13,0.0,0.0,0.0
2,00:30,14,0.0,0.0,0.0
2,00:30,15,0.0,0.0,0.0
2,00:30,16,0.0,0.0,0.0
2,00:30,17,0.0,0.0,0.0
2,00:30,18,0.0,0.0,0.0
2,00:30,19,0.0,0.0,0.0
2,00:30,20,0.0,0.0,0.0
2,00:30,21,0.0,0.0,0.0
2,00:30,22,0.0,0.0,0.0
2,00:30,23,0.0,0.0,0.0
3,00:45,0,0.296861412770303,0.0,1.0
3,00:45,1,0.4914631962587212,0.0,0.8267356665839212
3,00:45,2,0.20873341920047722,0.0,0.5276187258805882
3,00:45,3,0.002941725157735041,0.0,0.0
3,00:45,4,2.4661276584792004e-7,0.0,0.0
3,00:45,5,0.0,0.0,0.0
3,00:45,6,0.0,0.0,0.0
3,00:45,7,0.0,0.0,0.0
3,00:45,8,0.0,0.0,0.0
3,00:45,9,0.0,0.0,0.0
3,00:45,10,0.0,0.0,0.0
3,00:45,11,0.0,0.0,0.0
3,00:45,12,0.0,0.0,0.0
3,00:45,13,0.0,0.0,0.0
3,00:45,14,0.0,0.0,0.0
3,00:45,15,0.0,0.0,0.0
3,00:45,16,0.0,0.0,0.0
3,00:45,17,0.0,0.0,0.0
3,00:45,18,0.0,0.0,0.0
3,00:45,19,0.0,0.0,0.0
3,00:45,20,0.0,0.0,0.0
3,00:45,21,0.0,0.0,0.0
3,00:45,22,0.0,0.0,0.0
3,00:45,23,0.0,0.0,0.0
4,01:00,0,0.22274160450493385,0.0,1.0
4,01:00,1,0.4638728695071657,0.0,0.7790438150781387
4,01:00,2,0.30370548779634077,0.0,0.6493523867038214
4,01:00,3,0.009680038191559017,0.0,0.05190865122820221
4,01:00,4,0.0,0.0,0.0
4,01:00,5,0.0,0.0,0.0
4,01:00,6,0.0,0.0,0.0
4,01:00,7,0.0,0.0,0.0
4,01:00,8,0.0,0.0,0.0
4,01:00,9,0.0,0.0,0.0
4,01:00,10,0.0,0.0,0.0
4,01:00,11,0.0,0.0,0.0
4,01:00,12,0.0,0.0,0.0
4,01:00,13,0.0,0.0,0.0
4,01:00,14,0.0,0.0,0.0
4,01:00,15,0.0,0.0,0.0
4,01:00,16,0.0,0.0,0.0
4,01:00,17,0.0,0.0,0.0
4,01:00,18,0.0,0.0,0.0
