fold,kind,channel,mean_kw,q05_kw,median_kw,q95_kw
f1,1,on,2.561210718548958,0.6152168245611613,2.24403123274458,5.337815546008426
f1,1,log,7.4501391899224565,2.4779987424057635,5.950116182517776,16.66134405468697
f1,2,on,10.280310127172667,6.633450332198162,9.829064159673646,16.61318668851111
f1,2,log,11.99524042829954,7.922036039369841,12.184964011832808,16.99714900175379
f1,3,on,13.495475071197141,9.285505438819174,14.12540230345181,17.03520913598239
f1,3,log,13.29039250975983,7.819074538446892,13.341432795873265,17.951305108928995
f2,1,on,3.6555160084314466,1.8367580063664062,3.401722092935268,6.225149032643148
f2,1,log,3.1292570972467266,0.458037690086624,2.8456635162332278,7.423961364550265
f2,2,on,15.233314720329629,12.551265496149046,15.238498951102459,17.855625695051355
f2,2,log,23.242845574319507,21.96051306530599,22.5579434121033,25.394049916226006
f2,3,on,15.415153574270365,13.126081882312487,15.498784664925486,17.093251071999777
f2,3,log,13.206877671496,9.744083296327346,12.827842348362841,15.860597259949643
f3,1,on,2.9787142307257684,1.2453452330753076,2.841326783661914,5.329407085469911
f3,1,log,3.5039989487163954,0.7654298188241393,2.553115303106621,10.40710533806516
f3,2,on,19.843310240667073,17.825829434304442,19.183779980594704,22.377531813328485
f3,2,log,14.002303837025817,10.50834526141499,15.417446488390661,16.85499374134381
f3,3,on,16.719554012790812,15.555669308660827,16.66276661145629,17.917281455023176
f3,3,log,15.712883374833913,13.665628886078785,16.107527091933417,17.182820365338507
f4,1,on,5.45924646085307,1.7108809192478505,4.878676685551734,10.422322449950586
f4,1,log,9.630984804700576,4.514024919039598,9.60731524220248,14.281256570954048
f4,2,on,7.197304026601635,5.869959200432395,7.125297166147455,7.928465561888627
f4,2,log,38.663961068787906,33.97736382906603,39.28156585521882,42.56117463616741
f4,3,on,21.856958314131347,19.334054067823256,22.046635116800584,22.887554517144373
f4,3,log,12.22490961609536,10.471855737917917,12.486082151148203,14.264596552825626
all,1,on,3.6636718546398113,0.9964108738455542,3.1192564878158695,8.682411624886516
all,1,log,5.928595010146538,0.6826829828478667,4.991054964178721,14.371752602311235
all,2,on,13.13855977869275,6.956233792851633,13.177502299782368,22.15665432290841
all,2,log,21.97608772710819,9.39880286241507,20.428361915358444,40.97898334862562
all,3,on,16.871785243097417,10.324140276161915,16.529103940422434,22.688185933772203
all,3,log,13.608765793046276,10.2467694061559,13.409190624155446,17.182820365338507
