model,variant,fold,stratum,metric,value,n
B0p,main,f2,nonop,cov90,NaN,0
B0p,main,f3,all,mae,14.485119047619047,1344
B0p,main,f3,all,rmse,28.08220288808588,1344
B0p,main,f3,all,crps,NaN,0
B0p,main,f3,all,cov50,NaN,0
B0p,main,f3,all,cov80,NaN,0
B0p,main,f3,all,cov90,NaN,0
B0p,main,f3,op,mae,24.415364583333332,768
B0p,main,f3,op,rmse,37.11000328415507,768
B0p,main,f3,op,crps,NaN,0
B0p,main,f3,op,cov50,NaN,0
B0p,main,f3,op,cov80,NaN,0
B0p,main,f3,op,cov90,NaN,0
B0p,main,f3,nonop,mae,1.2447916666666667,576
B0p,main,f3,nonop,rmse,1.9715863607201634,576
B0p,main,f3,nonop,crps,NaN,0
B0p,main,f3,nonop,cov50,NaN,0
B0p,main,f3,nonop,cov80,NaN,0
B0p,main,f3,nonop,cov90,NaN,0
B0p,main,f4,all,mae,15.165880503144654,1272
B0p,main,f4,all,rmse,26.9631270465016,1272
B0p,main,f4,all,crps,NaN,0
B0p,main,f4,all,cov50,NaN,0
B0p,main,f4,all,cov80,NaN,0
B0p,main,f4,all,cov90,NaN,0
B0p,main,f4,op,mae,16.873001776198933,1126
B0p,main,f4,op,rmse,28.63900692385072,1126
B0p,main,f4,op,crps,NaN,0
B0p,main,f4,op,cov50,NaN,0
B0p,main,f4,op,cov80,NaN,0
B0p,main,f4,op,cov90,NaN,0
B0p,main,f4,nonop,mae,2.0,146
B0p,main,f4,nonop,rmse,2.8907030950205947,146
B0p,main,f4,nonop,crps,NaN,0
B0p,main,f4,nonop,cov50,NaN,0
B0p,main,f4,nonop,cov80,NaN,0
B0p,main,f4,nonop,cov90,NaN,0
B0p,main,pooled,all,mae,13.720095693779903,5016
B0p,main,pooled,all,rmse,25.744395961936572,5016
B0p,main,pooled,all,crps,NaN,0
B0p,main,pooled,all,cov50,NaN,0
B0p,main,pooled,all,cov80,NaN,0
B0p,main,pooled,all,cov90,NaN,0
B0p,main,pooled,op,mae,18.376035339591386,3622
B0p,main,pooled,op,rmse,30.25978080921532,3622
