seed_a,seed_b,occ_maxdiff,delta_maxdiff,same_order,same_conclusion,agreement
0,1,0.15685909986495972,2.8751473426818848,true,false,0.6362847222222222
0,2,0.11583136767148972,5.577383637428284,true,false,0.7595486111111112
1,2,0.2518600821495056,2.702236294746399,true,false,0.5746527777777778
