month,scenario,rate,n_days,P_floor,E_P_app_base,E_P_app_scn,d_demand_won,d_energy_won,d_kwh,d_total_won,d_total_pct,C_change,eta_star,risk_ok_all
7,baseline,0.0,8,222.0,222.0500757751465,222.0500757751465,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
7,shift_peak,0.1,8,222.0,222.0500757751465,222.0500757751465,0.0,-33.88015962485224,-0.35484422254376113,-33.88015962485224,-0.0007249850489637236,0.04220956632162235,802.6654281803584,false
7,shift_peak,0.2,8,222.0,222.0500757751465,222.0500757751465,0.0,-63.41550064180046,-0.418818792582897,-63.41550064180046,-0.001356997438823468,0.0844191326432447,751.1982018317389,false
7,shift_peak,0.3,8,222.0,222.0500757751465,222.0500757751465,0.0,-124.4625714244321,-0.8018456835743564,-124.4625714244321,-0.002663313999621877,0.12662869896486703,982.8938656233377,false
7,stagger_start,0.1,8,222.0,222.0500757751465,222.0500757751465,0.0,36.42109978757799,0.4381351954943966,36.42109978757799,0.0007793573910271992,0.0064557919985633845,-5641.616055114976,false
7,stagger_start,0.2,8,222.0,222.0500757751465,222.0500757751465,0.0,27.326638388913125,0.25496390724219964,27.326638388913125,0.0005847494371268493,0.012911583997126769,-2116.443528152251,false
7,stagger_start,0.3,8,222.0,222.0500757751465,222.0500757751465,0.0,24.971394879743457,0.19991557145112893,24.971394879743457,0.0005343507273886477,0.01936737599569015,-1289.3535440888004,false
7,avoid_high,0.1,8,222.0,222.0500757751465,222.0500757751465,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
7,avoid_high,0.2,8,222.0,222.0500757751465,222.0500757751465,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
7,avoid_high,0.3,8,222.0,222.0500757751465,222.0500757751465,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
7,ease_peak,0.1,8,222.0,222.0500757751465,222.05118521118163,9.230507812335418,-26.16530275857076,-0.2161710629479785,-16.934794946235343,-0.00036237943620198027,0.010512307435769168,1610.9493609950014,false
7,ease_peak,0.2,8,222.0,222.0500757751465,222.05118521118163,9.230507812335418,-23.054042674135417,-0.24291476487996988,-13.823534861799999,-0.00029580309566435586,0.02102461487153833,657.4928932711791,false
7,ease_peak,0.3,8,222.0,222.0500757751465,222.05118521118163,9.230507812335418,-15.37638839893043,-0.24215607977021136,-6.145880586595013,-0.00013151270794867798,0.0315369223073075,194.87889549611933,false
8,baseline,0.0,19,222.0,223.37886103820802,223.37886103820802,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
8,shift_peak,0.1,19,222.0,223.37886103820802,223.3696919403076,-76.28689453142215,-96.67690235190094,2.9246553399570985,-172.96379688332308,-0.0020545896361429,0.05035075319941824,3435.1779445738566,false
8,shift_peak,0.2,19,222.0,223.37886103820802,223.34957997894287,-243.6184130860056,-285.36619571968913,5.503534455303452,-528.9846088056947,-0.006283663486321621,0.10070150639883647,5252.995985090912,false
8,shift_peak,0.3,19,222.0,223.37886103820802,223.34838143157958,-253.59032714855857,-546.3927409751341,7.305740288022207,-799.9830681236926,-0.009502780064232132,0.1510522595982547,5296.068196870164,false
8,stagger_start,0.1,19,222.0,223.37886103820802,223.37968717193604,6.8734326171761495,-11.540658061392605,-0.23147919886832824,-4.667225444216456,-0.000055440694526949025,0.003128157800973115,1492.00447712854,false
8,stagger_start,0.2,19,222.0,223.37886103820802,223.3796940383911,6.930561523331562,-71.6107187885791,-1.3528162951406557,-64.68015726524754,-0.0007683178975940003,0.006256315601946227,10338.378269332627,false
8,stagger_start,0.3,19,222.0,223.37886103820802,223.37751722717286,-11.180507812496217,-260.3879798166454,-4.891005733486963,-271.5684876291416,-0.0032258877883111128,0.009384473402919341,28938.063540641666,false
8,avoid_high,0.1,19,222.0,223.37886103820802,223.37886103820802,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
8,avoid_high,0.2,19,222.0,223.37886103820802,223.37886103820802,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
8,avoid_high,0.3,19,222.0,223.37886103820802,223.37886103820802,0.0,0.0,0.0,0.0,0.0,0.0,NaN,true
8,ease_peak,0.1,19,222.0,223.37886103820802,223.379775390625,7.607412109427969,110.72517383471131,0.6969408759541693,118.33258594413928,0.0014056404234859816,0.010163957407288423,-11642.37326095884,false
8,ease_peak,0.2,19,222.0,223.37886103820802,223.3831728439331,35.87422363267251,205.67909095808864,1.1673081746484968,241.55331459076115,0.0028693457571871517,0.020327914814576846,-11882.837801816586,false
8,ease_peak,0.3,19,222.0,223.37886103820802,223.38004056549073,9.813666992195067,271.93493643403053,1.3206592633432592,281.7486034262256,0.0033468145995185056,0.030491872221865265,-9240.121478148787,false
