model,variant,fold,stratum,metric,value,n
M2,main,f2,nonop,crps,5.337780895689455,480
M2,main,f2,nonop,cov50,0.13125,480
M2,main,f2,nonop,cov80,0.25833333333333336,480
M2,main,f2,nonop,cov90,0.5541666666666667,480
M2,main,f3,all,mae,16.892193870578893,1344
M2,main,f3,all,rmse,23.860784004599196,1344
M2,main,f3,all,crps,12.883028408690967,1344
M2,main,f3,all,cov50,0.27232142857142855,1344
M2,main,f3,all,cov80,0.5833333333333334,1344
M2,main,f3,all,cov90,0.8020833333333334,1344
M2,main,f3,op,mae,25.909489716365442,768
M2,main,f3,op,rmse,29.825382465055668,768
M2,main,f3,op,crps,18.463222063950656,768
M2,main,f3,op,cov50,0.26171875,768
M2,main,f3,op,cov80,0.5338541666666666,768
M2,main,f3,op,cov90,0.7955729166666666,768
M2,main,f3,nonop,mae,4.869132742863489,576
M2,main,f3,nonop,rmse,11.932383618422,576
M2,main,f3,nonop,crps,5.442770201678048,576
M2,main,f3,nonop,cov50,0.2864583333333333,576
M2,main,f3,nonop,cov80,0.6493055555555556,576
M2,main,f3,nonop,cov90,0.8107638888888888,576
M2,main,f4,all,mae,7.046087778920187,1272
M2,main,f4,all,rmse,10.439966292239427,1272
M2,main,f4,all,crps,5.374869170103702,1272
M2,main,f4,all,cov50,0.455188679245283,1272
M2,main,f4,all,cov80,0.7358490566037735,1272
M2,main,f4,all,cov90,0.860062893081761,1272
M2,main,f4,op,mae,7.754933767051264,1126
M2,main,f4,op,rmse,11.050988169041974,1126
M2,main,f4,op,crps,5.90603601885092,1126
M2,main,f4,op,cov50,0.45204262877442275,1126
M2,main,f4,op,cov80,0.7451154529307282,1126
M2,main,f4,op,cov90,0.8623445825932504,1126
M2,main,f4,nonop,mae,1.5792344731969665,146
M2,main,f4,nonop,rmse,2.7782886893514713,146
M2,main,f4,nonop,crps,1.278335802368315,146
M2,main,f4,nonop,cov50,0.4794520547945205,146
M2,main,f4,nonop,cov80,0.6643835616438356,146
M2,main,f4,nonop,cov90,0.8424657534246576,146
M2,main,pooled,all,mae,11.635110654242562,5016
M2,main,pooled,all,rmse,21.459084853805614,5016
M2,main,pooled,all,crps,8.956037677842893,5016
M2,main,pooled,all,cov50,0.344896331738437,5016
M2,main,pooled,all,cov80,0.6210127591706539,5016
M2,main,pooled,all,cov90,0.7816985645933014,5016
M2,main,pooled,op,mae,14.416915886040174,3622
M2,main,pooled,op,rmse,24.12670181182999,3622
M2,main,pooled,op,crps,10.734320893983563,3622
M2,main,pooled,op,cov50,0.3614025400331309,3622
M2,main,pooled,op,cov80,0.6490889011595803,3622
M2,main,pooled,op,cov90,0.7965212589729431,3622
M2,main,pooled,nonop,mae,4.407206386257657,1394
M2,main,pooled,nonop,rmse,12.02196326833497,1394
M2,main,pooled,nonop,crps,4.335562922562035,1394
M2,main,pooled,nonop,cov50,0.3020086083213773,1394
M2,main,pooled,nonop,cov80,0.5480631276901005,1394
M2,main,pooled,nonop,cov90,0.7431850789096126,1394
BAT,main,f1,all,mae,10.425152664663687,1152
BAT,main,f1,all,rmse,17.20309827293244,1152
BAT,main,f1,all,crps,9.319750951529393,1152
BAT,main,f1,all,cov50,0.7352430555555556,1152
BAT,main,f1,all,cov80,0.9010416666666666,1152
BAT,main,f1,all,cov90,0.9479166666666666,1152
BAT,main,f1,op,mae,12.265730323347077,960
BAT,main,f1,op,rmse,18.832512464808328,960
BAT,main,f1,op,crps,10.221822951112006,960
BAT,main,f1,op,cov50,0.6822916666666666,960
BAT,main,f1,op,cov80,0.88125,960
BAT,main,f1,op,cov90,0.9375,960
BAT,main,f1,nonop,mae,1.2222643712467287,192
BAT,main,f1,nonop,rmse,1.5368514707744882,192
BAT,main,f1,nonop,crps,4.809390953616334,192
BAT,main,f1,nonop,cov50,1.0,192
BAT,main,f1,nonop,cov80,1.0,192
BAT,main,f1,nonop,cov90,1.0,192
BAT,main,f2,all,mae,7.134297184142208,1248
BAT,main,f2,all,rmse,10.953050025294322,1248
BAT,main,f2,all,crps,6.68202409207008,1248
BAT,main,f2,all,cov50,0.78125,1248
BAT,main,f2,all,cov80,0.9206730769230769,1248
BAT,main,f2,all,cov90,0.9743589743589743,1248
BAT,main,f2,op,mae,10.390965564069077,768
BAT,main,f2,op,rmse,13.810228738865872,768
BAT,main,f2,op,crps,8.211738849845366,768
BAT,main,f2,op,cov50,0.64453125,768
BAT,main,f2,op,cov80,0.87109375,768
BAT,main,f2,op,cov90,0.9583333333333334,768
BAT,main,f2,nonop,mae,1.9236277762592204,480
BAT,main,f2,nonop,rmse,2.6008314277332345,480
BAT,main,f2,nonop,crps,4.23448047962962,480
BAT,main,f2,nonop,cov50,1.0,480
BAT,main,f2,nonop,cov80,1.0,480
BAT,main,f2,nonop,cov90,1.0,480
BAT,main,f3,all,mae,6.120408838055802,1344
BAT,main,f3,all,rmse,10.77705234644078,1344
BAT,main,f3,all,crps,5.906682294755551,1344
BAT,main,f3,all,cov50,0.8072916666666666,1344
BAT,main,f3,all,cov80,0.9270833333333334,1344
BAT,main,f3,all,cov90,0.9590773809523809,1344
BAT,main,f3,op,mae,9.494090891649178,768
BAT,main,f3,op,rmse,14.140784538148717,768
BAT,main,f3,op,crps,7.672847607000322,768
BAT,main,f3,op,cov50,0.6627604166666666,768
BAT,main,f3,op,cov80,0.8723958333333334,768
BAT,main,f3,op,cov90,0.9283854166666666,768
BAT,main,f3,nonop,mae,1.6221660999313003,576
BAT,main,f3,nonop,rmse,2.094982221729647,576
BAT,main,f3,nonop,crps,3.551795211762521,576
BAT,main,f3,nonop,cov50,1.0,576
BAT,main,f3,nonop,cov80,1.0,576
BAT,main,f3,nonop,cov90,1.0,576
BAT,main,f4,all,mae,7.929673859699234,1272
BAT,main,f4,all,rmse,10.8793941546999,1272
BAT,main,f4,all,crps,6.333878378232297,1272
BAT,main,f4,all,cov50,0.6171383647798742,1272
BAT,main,f4,all,cov80,0.8459119496855346,1272
BAT,main,f4,all,cov90,0.9205974842767296,1272
BAT,main,f4,op,mae,8.753493712565216,1126
BAT,main,f4,op,rmse,11.52982863893313,1126
BAT,main,f4,op,crps,6.747248792463403,1126
BAT,main,f4,op,cov50,0.5683836589698046,1126
BAT,main,f4,op,cov80,0.8268206039076377,1126
BAT,main,f4,op,cov90,0.9103019538188277,1126
BAT,main,f4,nonop,mae,1.5761043095136318,146
BAT,main,f4,nonop,rmse,2.4389312411463826,146
BAT,main,f4,nonop,crps,3.1458298410800634,146
BAT,main,f4,nonop,cov50,0.9931506849315068,146
BAT,main,f4,nonop,cov80,0.9931506849315068,146
BAT,main,f4,nonop,cov90,1.0,146
BAT,main,pooled,all,mae,7.820126272604957,5016
BAT,main,pooled,all,rmse,12.607641166619722,5016
BAT,main,pooled,all,crps,6.991784980926687,5016
BAT,main,pooled,all,cov50,0.7360446570972887,5016
BAT,main,pooled,all,cov80,0.8989234449760766,5016
BAT,main,pooled,all,cov90,0.9505582137161085,5016
BAT,main,pooled,op,mae,10.188641189606088,3622
BAT,main,pooled,op,rmse,14.770557539389337,3622
BAT,main,pooled,op,crps,8.174962609673884,3622
BAT,main,pooled,op,cov50,0.6347321921590282,3622
BAT,main,pooled,op,cov80,0.8602981778023192,3622
